result_city,result_postcode,result_status,operator_name,2G,3G,4G
Aubazines,19190,ok,orange,1,0,0
Aubenas,7200,ok,bouygues,1,1,1
Aubenas,7200,ok,orange,1,1,1
Aubergenville,78410,ok,sfr,0,1,0
Aubervilliers,93300,ok,orange,0,0,0
Aubervilliers,93300,ok,orange,1,0,0
Aubessagne,5800,ok,orange,1,1,1
Aubiat,63260,ok,bouygues,1,1,1
Aubiet,32270,ok,bouygues,1,1,1
Aubiet,32270,ok,orange,0,1,1
Aubiet,32270,ok,orange,1,1,1
Aubiet,32270,ok,sfr,1,1,1
Aubignan,84810,ok,bouygues,1,1,1
Aubignan,84810,ok,orange,0,1,0
Aubignas,7400,ok,orange,1,1,1
Aubigny,80800,ok,orange,1,1,0
Aubigny-Les Clouzeaux,85430,ok,free,0,1,0
Aubigny-en-Artois,62690,ok,free,0,1,1
Aubigny-en-Artois,62690,ok,orange,1,1,1
Aubigné-Racan,72800,ok,orange,0,1,1
Aubigné-Racan,72800,ok,orange,1,1,1
Aubigné-sur-Layon,49540,ok,orange,1,1,1
Aubière,63170,ok,free,0,1,1
Aucamville,31140,ok,free,0,1,1
Aucamville,82600,ok,sfr,1,1,1
Auch,32000,ok,bouygues,1,1,1
Auch,32000,ok,free,0,1,0
Auch,32000,ok,orange,0,1,1
Auch,32000,ok,orange,1,1,1
Auch,32000,ok,sfr,1,1,0
Auch,32000,ok,sfr,1,1,1
Auchel,62260,ok,bouygues,1,0,0
Auchel,62260,ok,bouygues,1,1,1
Auchel,62260,ok,sfr,1,1,0
Auchy-les-Mines,62138,ok,free,0,1,1
Auchy-les-Mines,62138,ok,orange,1,1,1
Auchy-lès-Hesdin,62770,ok,free,0,1,1
Audenge,33980,ok,bouygues,1,1,1
Audenge,33980,ok,orange,1,1,0
Audenge,33980,ok,orange,1,1,1
Audierne,29770,ok,sfr,1,1,1
Audinghen,62179,ok,bouygues,1,1,1
Audrehem,62890,ok,orange,1,0,0
Augerolles,63930,ok,sfr,1,1,0
Augny,57685,ok,bouygues,1,1,1
Augny,57685,ok,free,0,1,1
Augny,57685,ok,sfr,1,1,1
Augy,89290,ok,bouygues,1,1,0
Augy,89290,ok,bouygues,1,1,1
Augy,89290,ok,free,0,1,1
Augy,89290,ok,orange,0,0,0
Augy,89290,ok,orange,0,1,1
Augy,89290,ok,sfr,0,1,0
Augy,89290,ok,sfr,1,0,0
Augy,89290,ok,sfr,1,1,0
Augy,89290,ok,sfr,1,1,1
Aulnay-sous-Bois,93600,ok,free,0,1,0
Aulnay-sous-Bois,93600,ok,free,0,1,1
Aulnay-sous-Bois,93600,ok,sfr,1,1,1
Aulnay-sur-Mauldre,78126,ok,sfr,1,1,1
Aulnoye-Aymeries,59620,ok,orange,1,1,1
Ault,80460,ok,bouygues,1,1,1
Aumagne,17770,ok,sfr,1,1,1
Aumale,76390,ok,sfr,1,1,0
Auneuil,60390,ok,orange,1,1,1
Aups,83630,ok,bouygues,1,0,0
Aups,83630,ok,bouygues,1,1,0
Auray,56400,ok,bouygues,1,1,0
Auray,56400,ok,bouygues,1,1,1
Auray,56400,ok,free,0,1,0
Auray,56400,ok,free,0,1,1
Auray,56400,ok,sfr,1,1,0
Auray,56400,ok,sfr,1,1,1
Aureilhan,40200,ok,bouygues,1,1,1
Aureilhan,40200,ok,sfr,1,1,1
Aureilhan,65800,ok,bouygues,1,1,1
Aureilhan,65800,ok,free,0,1,0
Aureilhan,65800,ok,free,0,1,1
Aureilhan,65800,ok,orange,0,1,1
Aureilhan,65800,ok,orange,1,1,0
Aureilhan,65800,ok,orange,1,1,1
Aureilhan,65800,ok,sfr,1,1,0
Aureilhan,65800,ok,sfr,1,1,1
Aureille,13930,ok,orange,1,1,0
